# Baseline Results (Up to date)
# 597 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.058,561.586,561.586,34.184,34.212,-12.53,12.55,19.941,0.005,19.941,89.987,1.384,0.715,28.61,-80.6,0.438,-4.064e-5,0.522,0.003,85.114,89.981,632.429,107.52,0.102,7.743e-4,9.79,102.84,77.987,3.763,0,0,1.764,0.753,0.397,0.235,0.121,0.753,0.128,0.482,1.313e-4,0,0,0,0,6.646e-5,1.802,90,11.35,947.728,0.001,338.177,0.102,2.764e6,6.604,34.253,0.05,0.034,0.004
6.108,563.279,563.279,33.56,33.587,-12.438,12.452,20.01,0.005,20.01,89.987,1.351,0.575,28.61,-80.6,0.326,-4.111e-5,2.373,0.003,85.039,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.946,77.987,3.779,0,0,1.699,0.753,0.397,0.235,0.121,0.753,0.095,0.358,1.594e-4,0,0,0,0,0.001,1.755,90,11.339,947.538,0.001,338.17,0.1,2.713e6,6.604,34.253,0.05,0.034,0.004
6.158,564.942,564.942,32.94,32.967,-12.36,12.364,20.077,0.005,20.077,89.987,1.329,0.312,28.61,-80.6,0.078,-4.1e-5,3.301,0.012,84.892,89.985,632.429,107.52,0.102,7.743e-4,9.79,103.185,77.987,3.816,0,0,1.636,0.753,0.397,0.235,0.121,0.753,0.023,0.084,-2.396e-4,0,0,0,0,0.003,1.661,90,11.328,947.353,0.001,338.164,0.098,2.662e6,6.604,34.253,0.05,0.034,0.004
6.208,566.574,566.574,32.324,32.351,-12.281,12.282,20.143,0.005,20.143,89.987,1.319,0.111,28.61,-80.6,0.128,-4.102e-5,-3.083,0.007,84.729,89.987,632.429,107.52,0.102,7.743e-4,9.79,103.136,77.987,3.808,0,0,1.575,0.752,0.397,0.235,0.121,0.753,0.037,0.144,8.009e-5,0,0,0,0,-0.003,1.59,90,11.317,947.17,0.001,338.157,0.096,2.612e6,6.604,34.253,0.05,0.034,0.004
6.258,568.174,568.174,31.712,31.739,-12.177,12.179,20.209,0.005,20.209,89.987,1.311,0.24,28.61,-80.6,0.011,-4.104e-5,2.82,0.095,84.584,89.987,632.429,107.52,0.102,7.743e-4,9.79,103.25,77.987,3.825,0,0,1.517,0.752,0.397,0.235,0.121,0.752,0.003,0.01,4.739e-4,0,0,0,0,0.002,1.702,90,11.307,946.992,0.001,338.151,0.094,2.564e6,6.604,34.253,0.05,0.034,0.004
6.308,569.745,569.745,31.106,31.133,-12.082,12.086,20.274,0.005,20.274,89.986,1.296,0.286,28.61,-80.6,0.066,-4.104e-5,3.078,0.01,84.437,89.987,632.429,107.52,0.102,7.743e-4,9.79,103.195,77.987,3.817,0,0,1.46,0.752,0.397,0.235,0.121,0.752,0.019,0.07,4.794e-4,0,0,0,0,0.003,1.77,90,11.297,946.816,0.001,338.145,0.092,2.515e6,6.604,34.253,0.05,0.035,0.004
6.358,571.285,571.285,30.503,30.531,-12.018,12.018,20.338,0.005,20.338,89.986,1.289,0.024,28.61,-80.6,0.236,-4.105e-5,-2.686,0.005,84.289,89.985,632.429,107.52,0.102,7.743e-4,9.79,103.03,77.987,3.792,0,0,1.403,0.752,0.397,0.235,0.121,0.752,0.068,0.262,-3.868e-5,0,0,0,0,-0.002,1.635,90,11.287,946.644,0.001,338.139,0.091,2.465e6,6.604,34.253,0.05,0.035,0.004
6.408,572.795,572.795,29.904,29.932,-11.93,11.93,20.403,0.005,20.403,89.986,1.289,0.048,28.61,-80.6,0.21,-4.118e-5,-1.699,0.004,84.18,89.984,632.429,107.52,0.102,7.743e-4,9.79,103.054,77.987,3.796,0,0,1.349,0.752,0.397,0.235,0.121,0.752,0.061,0.233,1.683e-4,0,0,0,0,-9.206e-4,1.649,90,11.277,946.475,0.001,338.133,0.089,2.417e6,6.604,34.253,0.05,0.035,0.004
6.458,574.276,574.276,29.311,29.339,-11.811,11.818,20.467,0.005,20.467,89.986,1.276,0.426,28.61,-80.6,0.268,-4.121e-5,1.924,-0.005,84.096,89.982,632.429,107.52,0.102,7.743e-4,9.79,102.998,77.987,3.787,0,0,1.298,0.752,0.397,0.234,0.121,0.752,0.078,0.294,-3.107e-4,0,0,0,0,0.001,1.894,90,11.267,946.31,0.001,338.127,0.087,2.372e6,6.604,34.253,0.05,0.035,0.004
6.508,575.726,575.726,28.722,28.75,-11.736,11.741,20.53,0.005,20.53,89.986,1.256,0.346,28.61,-80.6,0.179,-4.122e-5,2.716,-0.006,83.979,89.981,632.429,107.52,0.102,7.743e-4,9.79,103.083,77.987,3.8,0,0,1.246,0.752,0.397,0.234,0.121,0.752,0.052,0.195,-4.518e-4,0,0,0,0,0.003,1.865,90,11.258,946.148,0.001,338.121,0.085,2.324e6,6.604,34.253,0.05,0.035,0.004
6.558,577.148,577.148,28.137,28.165,-11.667,11.67,20.593,0.005,20.593,89.986,1.242,0.236,28.61,-80.6,0.04,-4.121e-5,3.042,-0.022,83.833,89.981,632.429,107.52,0.102,7.743e-4,9.79,103.218,77.987,3.821,0,0,1.196,0.752,0.397,0.234,0.121,0.752,0.012,0.041,-7.604e-5,0,0,0,0,0.003,1.819,90,11.249,945.989,0.001,338.116,0.084,2.276e6,6.604,34.253,0.05,0.035,0.004
6.608,578.54,578.54,27.556,27.583,-11.591,11.594,20.654,0.005,20.654,89.986,1.23,0.221,28.61,-80.6,0.026,-4.121e-5,3.167,-0.034,83.677,89.981,632.429,107.52,0.102,7.743e-4,9.79,103.231,77.987,3.823,0,0,1.147,0.752,0.397,0.234,0.121,0.752,0.007,0.025,2.365e-4,0,0,0,0,0.004,1.836,90,11.239,945.833,0.001,338.11,0.082,2.23e6,6.604,34.253,0.05,0.035,0.004
6.658,579.904,579.904,26.978,27.006,-11.525,11.526,20.716,0.005,20.716,89.986,1.222,0.137,28.61,-80.6,0.094,-4.12e-5,-3.017,-0.008,83.521,89.981,632.429,107.52,0.102,7.743e-4,9.79,103.164,77.987,3.812,0,0,1.1,0.752,0.397,0.234,0.121,0.752,0.027,0.107,-4.157e-4,0,0,0,0,-0.004,1.797,90,11.231,945.681,0.001,338.105,0.08,2.183e6,6.604,34.253,0.05,0.035,0.003
6.708,581.238,581.238,26.404,26.432,-11.447,11.449,20.777,0.005,20.777,89.986,1.214,0.185,28.61,-80.6,0.016,-4.12e-5,-2.824,-0.036,83.376,89.981,632.429,107.52,0.102,7.743e-4,9.79,103.239,77.987,3.824,0,0,1.054,0.752,0.397,0.234,0.121,0.752,0.005,0.022,-2.26e-4,0,0,0,0,-0.003,1.845,90,11.222,945.532,0.001,338.099,0.079,2.137e6,6.604,34.253,0.05,0.036,0.003
6.758,582.544,582.544,25.833,25.861,-11.368,11.371,20.837,0.005,20.837,89.986,1.202,0.259,28.61,-80.6,0.111,-4.119e-5,2.986,-0.004,83.232,89.982,632.429,107.52,0.102,7.743e-4,9.79,103.147,77.987,3.81,0,0,1.01,0.752,0.397,0.234,0.121,0.752,0.032,0.119,4.286e-4,0,0,0,0,0.004,1.914,90,11.213,945.386,0.001,338.094,0.077,2.092e6,6.604,34.253,0.05,0.037,0.003
6.808,583.821,583.821,25.267,25.295,-11.305,11.307,20.897,0.005,20.897,89.986,1.191,0.206,28.61,-80.6,0.032,-4.117e-5,3.159,-0.008,83.078,89.982,632.429,107.52,0.102,7.743e-4,9.79,103.224,77.987,3.821,0,0,0.966,0.752,0.397,0.234,0.121,0.752,0.009,0.031,-8.577e-5,0,0,0,0,0.004,1.891,90,11.205,945.243,0.001,338.089,0.075,2.046e6,6.604,34.253,0.05,0.037,0.003
6.858,585.071,585.071,24.703,24.731,-11.242,11.243,20.956,0.005,20.956,89.986,1.181,0.171,28.61,-80.6,0.022,-4.117e-5,-3.188,-3.046e-4,82.918,89.983,632.429,107.52,0.102,7.743e-4,9.79,103.232,77.987,3.823,0,0,0.924,0.752,0.397,0.234,0.121,0.752,0.006,0.03,7.208e-5,0,0,0,0,-0.005,1.878,90,11.197,945.104,0.001,338.084,0.074,2.001e6,6.604,34.253,0.05,0.037,0.003
6.908,586.292,586.292,24.142,24.171,-11.187,11.187,21.015,0.005,21.015,89.986,1.175,0.081,28.61,-80.6,0.183,-4.116e-5,-2.884,9.432e-4,82.765,89.984,632.429,107.52,0.102,7.743e-4,9.79,103.076,77.987,3.799,0,0,0.882,0.752,0.397,0.234,0.121,0.752,0.053,0.206,-4.879e-6,0,0,0,0,-0.004,1.811,90,11.189,944.967,0.001,338.079,0.072,1.955e6,6.604,34.253,0.05,0.038,0.003
6.958,587.485,587.485,23.585,23.614,-11.114,11.115,21.074,0.005,21.074,89.985,1.17,0.157,28.61,-80.6,0.034,-4.117e-5,-2.582,0.011,82.63,89.984,632.429,107.52,0.102,7.743e-4,9.79,103.22,77.987,3.821,0,0,0.843,0.752,0.397,0.234,0.121,0.752,0.01,0.041,3.371e-4,0,0,0,0,-0.003,1.867,90,11.181,944.834,0.001,338.075,0.07,1.911e6,6.604,34.253,0.05,0.038,0.003
7.008,588.65,588.65,23.031,23.06,-11.035,11.039,21.132,0.005,21.132,89.985,1.158,0.305,28.61,-80.6,0.277,-4.115e-5,2.89,0.002,82.496,89.984,632.429,107.52,0.102,7.743e-4,9.79,102.984,77.987,3.785,0,0,0.805,0.752,0.397,0.234,0.121,0.752,0.081,0.301,-1.076e-4,0,0,0,0,0.004,1.99,90,11.174,944.704,0.001,338.07,0.069,1.868e6,6.604,34.253,0.05,0.038,0.003
7.058,589.788,589.788,22.481,22.51,-10.98,10.983,21.189,0.005,21.189,89.985,1.143,0.266,28.61,-80.6,0.218,-4.115e-5,3.451,0.002,82.337,89.984,632.429,107.52,0.102,7.743e-4,9.79,103.041,77.987,3.794,0,0,0.768,0.752,0.397,0.234,0.121,0.752,0.063,0.233,4.35e-4,0,0,0,0,0.007,1.969,90,11.166,944.577,0.001,338.066,0.067,1.823e6,6.604,34.253,0.05,0.038,0.003
7.108,590.898,590.898,21.933,21.962,-10.938,10.939,21.246,0.005,21.246,89.985,1.133,0.128,28.61,-80.6,0.073,-4.114e-5,-3.551,0.011,82.159,89.984,632.429,107.52,0.102,7.743e-4,9.79,103.181,77.987,3.815,0,0,0.73,0.752,0.397,0.234,0.121,0.752,0.021,0.088,5.506e-5,0,0,0,0,-0.007,1.858,90,11.159,944.453,0.001,338.061,0.065,1.778e6,6.604,34.253,0.05,0.038,0.003
7.158,591.981,591.981,21.387,21.417,-10.877,10.879,21.303,0.006,21.303,89.985,1.127,0.164,28.61,-80.6,0.02,-4.114e-5,3.417,0.02,81.986,89.984,632.429,107.52,0.102,7.743e-4,9.79,103.233,77.987,3.823,0,0,0.695,0.752,0.397,0.234,0.121,0.752,0.006,0.015,4.805e-4,0,0,0,0,0.007,1.892,90,11.152,944.332,0.001,338.057,0.064,1.735e6,6.604,34.253,0.05,0.038,0.003
7.208,593.037,593.037,20.845,20.875,-10.795,10.802,21.359,0.006,21.359,89.985,1.113,0.383,28.61,-80.6,0.571,-4.107e-5,3.987,-0.002,81.805,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.702,77.987,3.742,0,0,0.663,0.752,0.397,0.234,0.121,0.752,0.168,0.616,1.233e-4,0,0,0,0,0.01,2.102,90,11.145,944.214,0.001,338.053,0.062,1.694e6,6.604,34.253,0.05,0.038,0.003
7.258,594.066,594.066,20.307,20.337,-10.735,10.744,21.414,0.006,21.414,89.985,1.092,0.437,28.61,-80.6,0.746,-4.109e-5,5.129,-0.003,81.578,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.537,77.987,3.717,0,0,0.631,0.752,0.397,0.234,0.12,0.753,0.22,0.799,-1.626e-4,0,0,0,0,0.018,2.185,90,11.139,944.099,0.001,338.049,0.061,1.652e6,6.604,34.253,0.035,0.039,0.003
# Event EJECTION_CHARGE occurred at t=7.293 seconds
7.293,594.767,594.767,19.934,19.963,-10.697,10.706,21.452,0.006,21.452,89.985,1.077,0.449,28.61,-80.6,0.809,-4.109e-5,6.016,-0.003,81.384,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.477,77.987,3.708,0,0,0.609,0.751,0.397,0.234,0.12,0.753,0.239,0.86,-3.724e-4,0,0,0,0,0.026,2.233,90,11.134,944.02,0.001,338.046,0.06,1.623e6,6.604,34.253,0.05,0.039,0.003
7.343,595.751,595.751,19.4,19.429,-10.665,10.669,21.505,0.006,21.505,89.985,1.057,0.303,28.61,-80.6,0.455,-4.106e-5,7.026,-0.004,81.055,89.982,632.429,107.52,0.102,7.743e-4,9.79,102.812,77.987,3.759,0,0,0.576,0.751,0.397,0.234,0.12,0.752,0.133,0.463,-2.031e-4,0,0,0,0,0.037,2.154,90,11.128,943.911,0.001,338.042,0.058,1.579e6,6.604,34.253,0.05,0.039,0.002
7.393,596.707,596.707,18.867,18.896,-10.634,10.636,21.558,0.006,21.558,89.985,1.046,0.176,28.61,-80.6,0.106,-4.106e-5,7.393,-0.009,80.692,89.982,632.429,107.52,0.102,7.743e-4,9.79,103.147,77.987,3.81,0,0,0.544,0.751,0.397,0.234,0.12,0.751,0.031,0.075,2.709e-4,0,0,0,0,0.043,2.083,90,11.121,943.804,0.001,338.038,0.057,1.536e6,6.604,34.253,0.05,0.039,0.002
7.443,597.637,597.637,18.337,18.366,-10.578,10.581,21.61,0.006,21.61,89.985,1.036,0.238,28.61,-80.6,0.315,-4.107e-5,7.593,-0.005,80.319,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.945,77.987,3.779,0,0,0.516,0.751,0.397,0.234,0.12,0.752,0.092,0.298,8.791e-5,0,0,0,0,0.048,2.196,90,11.115,943.7,0.001,338.035,0.055,1.495e6,6.604,34.253,0.05,0.039,0.002
7.493,598.541,598.541,17.809,17.839,-10.524,10.528,21.661,0.006,21.661,89.985,1.022,0.294,28.61,-80.6,0.528,-4.106e-5,8.109,-0.004,79.927,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.741,77.987,3.748,0,0,0.489,0.751,0.397,0.234,0.12,0.752,0.155,0.522,2.92e-4,0,0,0,0,0.058,2.311,90,11.109,943.599,0.001,338.031,0.054,1.455e6,6.604,34.253,0.05,0.039,0.002
7.543,599.418,599.418,17.284,17.313,-10.493,10.495,21.712,0.006,21.712,89.984,1.009,0.207,28.61,-80.6,0.26,-4.108e-5,8.577,-0.006,79.508,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.997,77.987,3.787,0,0,0.461,0.751,0.397,0.234,0.12,0.752,0.076,0.218,-2.81e-4,0,0,0,0,0.068,2.273,90,11.104,943.501,0.001,338.028,0.052,1.412e6,6.604,34.253,0.05,0.039,0.002
7.593,600.269,600.269,16.76,16.79,-10.468,10.468,21.762,0.006,21.762,89.984,1.002,0.107,28.61,-80.6,0.096,-4.108e-5,-8.6,-0.008,79.077,89.983,632.429,107.52,0.102,7.743e-4,9.79,103.155,77.987,3.811,0,0,0.433,0.751,0.397,0.234,0.12,0.751,0.028,0.18,4.113e-4,0,0,0,0,-0.073,2.204,90,11.098,943.406,0.001,338.024,0.05,1.37e6,6.604,34.253,0.05,0.039,0.002
7.643,601.094,601.094,16.237,16.268,-10.447,10.447,21.812,0.006,21.812,89.984,0.999,0.002,28.61,-80.6,0.531,-4.108e-5,-8.172,3.002e-4,78.656,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.737,77.987,3.748,0,0,0.407,0.751,0.397,0.234,0.12,0.752,0.156,0.654,-3.473e-4,0,0,0,0,-0.07,2.102,90,11.093,943.314,0.001,338.021,0.049,1.327e6,6.604,34.253,0.05,0.04,0.002
7.693,601.893,601.893,15.715,15.747,-10.424,10.425,21.862,0.006,21.862,89.984,1.001,0.081,28.61,-80.6,0.888,-4.109e-5,-7.346,0.001,78.267,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.402,77.987,3.697,0,0,0.382,0.751,0.397,0.234,0.12,0.753,0.262,1.03,-1.415e-4,0,0,0,0,-0.061,2.01,90,11.088,943.224,0.001,338.018,0.047,1.284e6,6.604,34.253,0.05,0.04,0.002
7.743,602.666,602.666,15.195,15.228,-10.398,10.399,21.912,0.006,21.912,89.984,1.007,0.134,28.61,-80.6,1.166,-4.109e-5,-6.272,0.001,77.925,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.144,77.987,3.658,0,0,0.358,0.751,0.397,0.234,0.12,0.754,0.347,1.316,-1.882e-4,0,0,0,0,-0.047,1.922,90,11.083,943.138,0.001,338.015,0.046,1.242e6,6.604,34.253,0.05,0.04,0.002
7.793,603.413,603.413,14.676,14.711,-10.364,10.365,21.963,0.006,21.963,89.984,1.014,0.146,28.61,-80.6,1.277,-4.115e-5,-5.097,0.002,77.641,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.042,77.987,3.642,0,0,0.334,0.751,0.397,0.234,0.12,0.755,0.381,1.422,-1.761e-5,0,0,0,0,-0.033,1.861,90,11.078,943.055,0.001,338.012,0.044,1.2e6,6.604,34.253,0.05,0.04,0.002
7.843,604.133,604.133,14.158,14.195,-10.338,10.339,22.014,0.006,22.014,89.984,1.022,0.188,28.61,-80.6,1.557,-4.117e-5,-3.863,0.002,77.417,89.983,632.429,107.52,0.102,7.743e-4,9.79,101.788,77.987,3.604,0,0,0.312,0.751,0.397,0.234,0.12,0.757,0.468,1.708,-8.238e-5,0,0,0,0,-0.021,1.737,90,11.073,942.974,0.001,338.009,0.043,1.158e6,6.604,34.253,0.05,0.04,0.002
7.893,604.828,604.828,13.642,13.681,-10.285,10.285,22.065,0.006,22.065,89.984,1.03,0.108,28.61,-80.6,1.197,-4.113e-5,-2.714,0.002,77.254,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.114,77.987,3.653,0,0,0.29,0.751,0.397,0.234,0.12,0.754,0.357,1.314,-5.714e-5,0,0,0,0,-0.011,1.758,90,11.069,942.896,0.001,338.006,0.041,1.117e6,6.604,34.253,0.05,0.04,0.002
7.943,605.498,605.498,13.13,13.171,-10.198,10.199,22.117,0.006,22.117,89.984,1.029,0.135,28.61,-80.6,0.234,-4.115e-5,2.297,7.055e-4,77.133,89.983,632.429,107.52,0.102,7.743e-4,9.79,103.02,77.987,3.791,0,0,0.27,0.751,0.397,0.234,0.12,0.751,0.068,0.249,-3.396e-4,0,0,0,0,0.008,2.026,90,11.064,942.822,0.001,338.004,0.04,1.082e6,6.604,34.253,0.05,0.04,0.002
7.993,606.142,606.142,12.622,12.663,-10.156,10.158,22.168,0.006,22.168,89.984,1.021,0.181,28.61,-80.6,0.6,-4.115e-5,2.633,-5.054e-4,77.011,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.67,77.987,3.738,0,0,0.251,0.751,0.397,0.234,0.12,0.752,0.176,0.647,-1.555e-5,0,0,0,0,0.012,2.03,90,11.06,942.75,0.001,338.001,0.038,1.042e6,6.604,34.253,0.05,0.041,0.002
8.043,606.76,606.76,12.115,12.157,-10.128,10.129,22.219,0.006,22.219,89.984,1.012,0.166,28.61,-80.6,0.582,-4.116e-5,3.017,1.862e-5,76.869,89.983,632.429,107.52,0.102,7.743e-4,9.79,102.687,77.987,3.74,0,0,0.231,0.751,0.397,0.234,0.12,0.752,0.171,0.621,-2.986e-4,0,0,0,0,0.017,1.944,90,11.056,942.681,0.001,337.999,0.037,1.001e6,6.604,34.253,0.05,0.041,0.002
8.093,607.353,607.353,11.609,11.652,-10.11,10.111,22.269,0.006,22.269,89.984,1.005,0.11,28.61,-80.6,0.25,-4.116e-5,3.268,0.004,76.711,89.982,632.429,107.52,0.102,7.743e-4,9.79,103.005,77.987,3.788,0,0,0.213,0.754,0.399,0.234,0.12,0.754,0.073,0.254,-2.077e-4,0,0,0,0,0.022,1.79,90,11.052,942.614,0.001,337.997,0.035,9.58e5,6.604,34.253,0.05,0.041,0.001
8.143,607.921,607.921,11.104,11.149,-10.076,10.077,22.319,0.006,22.319,89.983,0.999,0.144,28.61,-80.6,0.6,-4.116e-5,3.466,9.187e-4,76.544,89.982,632.429,107.52,0.102,7.743e-4,9.79,102.67,77.987,3.738,0,0,0.196,0.757,0.403,0.234,0.12,0.758,0.176,0.632,7.573e-6,0,0,0,0,0.026,1.781,90,11.049,942.551,0.001,337.994,0.034,9.184e5,6.604,34.253,0.05,0.041,0.001
8.193,608.463,608.463,10.601,10.647,-10.037,10.039,22.369,0.006,22.369,89.983,0.99,0.203,28.61,-80.6,1.226,-4.116e-5,3.905,-4.637e-4,76.36,89.982,632.429,107.52,0.102,7.743e-4,9.79,102.087,77.987,3.649,0,0,0.182,0.76,0.406,0.234,0.12,0.764,0.365,1.296,4.302e-4,0,0,0,0,0.036,1.823,90,11.045,942.49,0.001,337.992,0.032,8.799e5,6.604,34.253,0.05,0.041,0.001
8.243,608.981,608.981,10.1,10.147,-10.005,10.008,22.418,0.007,22.418,89.983,0.979,0.236,28.61,-80.6,1.701,-4.114e-5,4.56,-8.109e-4,76.149,89.982,632.429,107.52,0.102,7.743e-4,9.79,101.657,77.987,3.584,0,0,0.168,0.764,0.41,0.234,0.12,0.77,0.513,1.785,1.788e-5,0,0,0,0,0.054,1.831,90,11.042,942.432,0.001,337.99,0.031,8.411e5,6.604,34.253,0.05,0.041,0.001
8.293,609.473,609.473,9.6,9.649,-9.979,9.982,22.467,0.007,22.467,89.983,0.967,0.248,28.61,-80.6,2.037,-4.115e-5,5.313,-8.979e-4,75.903,89.981,632.429,107.52,0.102,7.743e-4,9.79,101.359,77.987,3.539,0,0,0.154,0.768,0.414,0.234,0.12,0.777,0.62,2.111,3.603e-4,0,0,0,0,0.081,1.81,90,11.038,942.377,0.001,337.988,0.03,8.017e5,6.604,34.253,0.05,0.041,0.001
8.343,609.941,609.941,9.102,9.152,-9.968,9.969,22.515,0.007,22.515,89.983,0.956,0.189,28.61,-80.6,1.639,-4.116e-5,5.986,1.311e-4,75.619,89.981,632.429,107.52,0.102,7.743e-4,9.79,101.713,77.987,3.593,0,0,0.138,0.773,0.419,0.234,0.12,0.779,0.493,1.658,1.416e-4,0,0,0,0,0.115,1.657,90,11.035,942.325,0.001,337.986,0.028,7.596e5,6.604,34.253,0.05,0.041,0.001
8.393,610.384,610.384,8.604,8.656,-9.939,9.941,22.562,0.007,22.562,89.983,0.946,0.223,28.61,-80.6,2.287,-4.117e-5,6.582,-5.468e-4,75.306,89.981,632.429,107.52,0.102,7.743e-4,9.79,101.141,77.987,3.506,0,0,0.126,0.777,0.423,0.234,0.12,0.788,0.7,2.3,4.514e-5,0,0,0,0,0.154,1.681,90,11.033,942.276,0.001,337.985,0.027,7.216e5,6.604,34.253,0.05,0.042,0.001
8.443,610.801,610.801,8.108,8.162,-9.899,9.904,22.609,0.007,22.609,89.983,0.933,0.312,28.61,-80.6,3.737,-4.118e-5,7.423,-0.002,74.957,89.981,632.429,107.52,0.102,7.743e-4,9.79,99.931,77.987,3.323,0,0,0.118,0.781,0.427,0.234,0.12,0.81,1.184,3.72,8.908e-5,0,0,0,0,0.216,1.824,90,11.03,942.229,0.001,337.983,0.025,6.869e5,6.604,34.253,0.05,0.042,0.001
8.493,611.195,611.195,7.614,7.669,-9.89,9.894,22.656,0.007,22.656,89.983,0.918,0.256,28.61,-80.6,3.445,-4.118e-5,8.347,-8.744e-4,74.562,89.98,632.429,107.52,0.102,7.743e-4,9.79,100.167,77.987,3.359,0,0,0.104,0.787,0.433,0.234,0.12,0.812,1.084,3.332,-3.683e-4,0,0,0,0,0.31,1.686,90,11.027,942.185,0.001,337.981,0.024,6.454e5,6.604,34.253,0.05,0.042,9.839e-4
8.543,611.563,611.563,7.119,7.177,-9.87,9.873,22.701,0.007,22.701,89.983,0.905,0.264,28.61,-80.6,4.037,-4.118e-5,9.131,-9.611e-4,74.125,89.98,632.429,107.52,0.102,7.743e-4,9.79,99.692,77.987,3.287,0,0,0.094,0.792,0.438,0.234,0.12,0.826,1.288,3.816,-4.661e-4,0,0,0,0,0.419,1.673,90,11.025,942.144,0.001,337.98,0.022,6.073e5,6.604,34.253,0.05,0.042,9.21e-4
8.593,611.906,611.906,6.626,6.686,-9.852,9.856,22.746,0.007,22.746,89.983,0.892,0.26,28.61,-80.6,4.542,-4.118e-5,9.923,-8.989e-4,73.648,89.98,632.429,107.52,0.102,7.743e-4,9.79,99.296,77.987,3.227,0,0,0.084,0.798,0.444,0.234,0.12,0.84,1.467,4.169,2.175e-4,0,0,0,0,0.563,1.637,90,11.023,942.106,0.001,337.979,0.021,5.689e5,6.604,34.253,0.05,0.042,8.583e-4
8.643,612.226,612.226,6.134,6.197,-9.824,9.829,22.791,0.007,22.791,89.983,0.878,0.311,28.61,-80.6,6.166,-4.118e-5,10.753,-0.002,73.132,89.98,632.429,107.52,0.102,7.743e-4,9.79,98.092,77.987,3.044,0,0,0.077,0.804,0.45,0.234,0.12,0.876,2.066,5.541,-3.923e-4,0,0,0,0,0.749,1.73,90,11.021,942.07,0.001,337.977,0.02,5.346e5,6.604,34.253,0.05,0.042,7.957e-4
8.693,612.52,612.52,5.644,5.709,-9.802,9.808,22.834,0.007,22.834,89.983,0.862,0.332,28.61,-80.6,7.486,-4.117e-5,11.675,-0.002,72.571,89.979,632.429,107.52,0.102,7.743e-4,9.79,97.182,77.987,2.907,0,0,0.07,0.811,0.457,0.234,0.12,0.911,2.582,6.49,1.982e-4,0,0,0,0,1.013,1.76,90,11.019,942.037,0.001,337.976,0.018,4.991e5,6.604,34.253,0.05,0.042,7.334e-4
8.743,612.79,612.79,5.155,5.223,-9.766,9.775,22.877,0.007,22.877,89.982,0.844,0.414,28.61,-80.6,10.245,-4.118e-5,12.67,-0.002,71.963,89.979,632.429,107.52,0.102,7.743e-4,9.79,95.459,77.987,2.646,0,0,0.066,0.817,0.463,0.234,0.12,0.977,3.741,8.548,-2.734e-4,0,0,0,0,1.349,1.93,90,11.017,942.007,0.001,337.975,0.017,4.694e5,6.604,34.253,0.05,0.043,6.713e-4
8.793,613.035,613.035,4.667,4.739,-9.748,9.757,22.918,0.007,22.918,89.982,0.823,0.418,28.61,-80.6,11.83,-4.119e-5,13.724,-0.002,71.303,89.979,632.429,107.52,0.102,7.743e-4,9.79,94.568,77.987,2.511,0,0,0.059,0.825,0.471,0.234,0.12,1.017,4.455,9.338,1.985e-4,0,0,0,0,1.847,1.929,90,11.015,941.979,0.001,337.974,0.016,4.345e5,6.604,34.253,0.05,0.043,6.094e-4
